filename,width,height,class,xmin,ymin,xmax,ymax
0-fariha-1537268659-1537281415.jpg,600,450,Surname,197,151,276,165
0-fariha-1537268659-1537281415.jpg,600,450,GivenName,195,174,318,191
0-fariha-1537268659-1537281415.jpg,600,450,Nationality,200,197,280,216
0-fariha-1537268659-1537281415.jpg,600,450,DOB,195,223,292,240
0-fariha-1537268659-1537281415.jpg,600,450,Gender,198,246,212,262
0-fariha-1537268659-1537281415.jpg,600,450,FatherName,197,266,434,285
12915125_10153620705298348_949616896_o_large.jpg,600,413,Surname,262.0,61.0,308.0,84.0
12915125_10153620705298348_949616896_o_large.jpg,600,413,GivenName,275.0,100.0,344.0,118.0
12915125_10153620705298348_949616896_o_large.jpg,600,413,Nationality,275.0,133.0,366.0,151.0
12915125_10153620705298348_949616896_o_large.jpg,600,413,DOB,272.0,161.0,383.0,184.0
12915125_10153620705298348_949616896_o_large.jpg,600,413,Gender,270.0,193.0,297.0,217.0
12915125_10153620705298348_949616896_o_large.jpg,600,413,FatherName,275.0,225.0,366.0,250.0
1443564-farzana-1498249196-400x230.jpeg,400,225,Surname,117,13,146,25
1443564-farzana-1498249196-400x230.jpeg,400,225,GivenName,116,32,172,47
1443564-farzana-1498249196-400x230.jpeg,400,225,Nationality,116,52,180,66
1443564-farzana-1498249196-400x230.jpeg,400,225,DOB,118,73,187,84
1443564-farzana-1498249196-400x230.jpeg,400,225,Gender,117,88,129,103
1443564-farzana-1498249196-400x230.jpeg,400,225,FatherName,117,109,193,120
716618_1341073_s2_updates.jpg,600,360,Surname,322.0,65.0,415.0,91.0
716618_1341073_s2_updates.jpg,600,360,GivenName,324.0,104.0,419.0,127.0
716618_1341073_s2_updates.jpg,600,360,Nationality,321.0,135.0,454.0,159.0
716618_1341073_s2_updates.jpg,600,360,DOB,317.0,172.0,466.0,193.0
716618_1341073_s2_updates.jpg,600,360,Gender,316.0,210.0,340.0,231.0
716618_1341073_s2_updates.jpg,600,360,FatherName,316.0,242.0,471.0,269.0
CjEM6QxWUAAfX3I.jpg,600,422,Surname,399.0,100.0,482.0,124.0
CjEM6QxWUAAfX3I.jpg,600,422,GivenName,400.0,141.0,487.0,166.0
CjEM6QxWUAAfX3I.jpg,600,422,Nationality,405.0,182.0,539.0,207.0
CjEM6QxWUAAfX3I.jpg,600,422,DOB,400.0,223.0,558.0,247.0
CjEM6QxWUAAfX3I.jpg,600,422,Gender,400.0,257.0,422.0,284.0
CjEM6QxWUAAfX3I.jpg,600,422,FatherName,395.0,301.0,623.0,332.0
dsx_070818_03.jpg,600,450,Surname,425.0,190.0,555.0,217.0
dsx_070818_03.jpg,600,450,GivenName,431.0,231.0,559.0,258.0
dsx_070818_03.jpg,600,450,Nationality,425.0,269.0,581.0,301.0
dsx_070818_03.jpg,600,450,DOB,416.0,312.0,616.0,347.0
dsx_070818_03.jpg,600,450,Gender,428.0,360.0,456.0,386.0
dsx_070818_03.jpg,600,450,FatherName,425.0,398.0,693.0,432.0
hareem.jpg,600,360,Surname,340.0,77.0,448.0,96.0
hareem.jpg,600,360,GivenName,338.0,106.0,420.0,137.0
hareem.jpg,600,360,Nationality,342.0,140.0,472.0,169.0
hareem.jpg,600,360,DOB,340.0,183.0,498.0,199.0
hareem.jpg,600,360,Gender,343.0,211.0,368.0,242.0
hareem.jpg,600,360,FatherName,349.0,233.0,715.0,275.0
images.jpg,269,187,Surname,94,23,138,32
images.jpg,269,187,Nationality,92,44,129,52
images.jpg,269,187,DOB,91,55,136,64
images.jpg,269,187,Gender,93,66,100,72
images.jpg,269,187,FatherName,91,77,144,85
master_photo.jpg,600,403,Surname,213.0,44.0,280.0,59.0
master_photo.jpg,600,403,GivenName,211.0,68.0,309.0,85.0
master_photo.jpg,600,403,Nationality,214.0,91.0,298.0,113.0
master_photo.jpg,600,403,DOB,210.0,122.0,311.0,137.0
master_photo.jpg,600,403,Gender,213.0,146.0,231.0,161.0
master_photo.jpg,600,403,FatherName,213.0,168.0,372.0,190.0
miqrasiya_240718_02_892.jpg,600,426,Surname,419.0,127.0,509.0,160.0
miqrasiya_240718_02_892.jpg,600,426,GivenName,416.0,163.0,576.0,195.0
miqrasiya_240718_02_892.jpg,600,426,Nationality,412.0,212.0,577.0,249.0
miqrasiya_240718_02_892.jpg,600,426,DOB,417.0,263.0,596.0,294.0
miqrasiya_240718_02_892.jpg,600,426,Gender,419.0,314.0,447.0,342.0
miqrasiya_240718_02_892.jpg,600,426,FatherName,420.0,345.0,742.0,388.0
news-1466728979-7337.jpg,600,450,FatherName,209,170,346,189
news-1466728979-7337.jpg,600,450,Gender,207,146,226,162
news-1466728979-7337.jpg,600,450,DOB,207,122,301,143
news-1466728979-7337.jpg,600,450,Nationality,211,102,288,119
news-1466728979-7337.jpg,600,450,GivenName,209,80,265,96
news-1466728979-7337.jpg,600,450,Surname,207,58,262,73
pak-id.jpg,600,400,Surname,256.0,83.0,321.0,97.0
pak-id.jpg,600,400,GivenName,253.0,105.0,359.0,120.0
pak-id.jpg,600,400,Nationality,253.0,129.0,344.0,142.0
pak-id.jpg,600,400,DOB,253.0,151.0,359.0,167.0
pak-id.jpg,600,400,Gender,250.0,176.0,269.0,189.0
pak-id.jpg,600,400,FatherName,247.0,202.0,431.0,218.0
aug1_0510-Datapage.jpg,1200,846,Surname,482.61785888671875,0.0,570.8106689453125,46.75996780395508
aug1_0510-Datapage.jpg,1200,846,FirstName,443.86773681640625,0.0,588.8682861328125,153.86270141601562
aug1_0510-Datapage.jpg,1200,846,Nationality,523.44091796875,0.0,617.9950561523438,88.08063507080078
aug1_0510-Datapage.jpg,1200,846,DOB,564.7841796875,15.976656913757324,613.5489501953125,77.90298461914062
aug1_0510-Datapage.jpg,1200,846,Gender,257.00897216796875,0.0,833.3983154296875,357.8116149902344
aug1_0510-Datapage.jpg,1200,846,PlaceOfBirth,,,,
aug1_0510-Datapage.jpg,1200,846,UKPassport,,,,
aug1_0710-Datapage.jpg,1200,854,Surname,919.0,66.0,998.5,84.5
aug1_0710-Datapage.jpg,1200,854,FirstName,870.5,95.5,995.5,115.0
aug1_0710-Datapage.jpg,1200,854,Nationality,848.5,126.0,997.0,144.5
aug1_0710-Datapage.jpg,1200,854,DOB,856.0,156.5,998.5,175.5
aug1_0710-Datapage.jpg,1200,854,Gender,985.0,187.0,999.0,202.5
aug1_0710-Datapage.jpg,1200,854,PlaceOfBirth,796.5,187.5,937.5,203.0
aug1_0710-Datapage.jpg,1200,854,UKPassport,602.0,1.5,1193.5,381.0
aug1_0820-Biodata.jpg,1200,818,Surname,270.3929748535156,117.99559020996094,321.2975158691406,134.96377563476562
aug1_0820-Biodata.jpg,1200,818,FirstName,266.1509094238281,143.8720703125,313.2376403808594,159.14344787597656
aug1_0820-Biodata.jpg,1200,818,Nationality,267.8477478027344,168.4759521484375,396.3817443847656,185.4441375732422
aug1_0820-Biodata.jpg,1200,818,DOB,267.8477478027344,195.6250457763672,397.23016357421875,211.7448272705078
aug1_0820-Biodata.jpg,1200,818,Gender,264.8782958984375,219.38050842285156,278.4528503417969,233.37925720214844
aug1_0820-Biodata.jpg,1200,818,PlaceOfBirth,302.20831298828125,219.38050842285156,355.23388671875,236.34869384765625
aug1_0820-Biodata.jpg,1200,818,UKPassport,95.62063598632812,62.84898376464844,597.4547729492188,322.0380554199219
aug1_0830-Datapage.jpg,1200,823,Surname,208.3154296875,99.9051284790039,295.3606872558594,155.66490173339844
aug1_0830-Datapage.jpg,1200,823,FirstName,223.69607543945312,96.32369232177734,374.54742431640625,182.11595153808594
aug1_0830-Datapage.jpg,1200,823,Nationality,236.1715087890625,113.4264907836914,409.40106201171875,213.0435028076172
aug1_0830-Datapage.jpg,1200,823,DOB,245.2941131591797,144.7587127685547,406.88885498046875,236.5668182373047
aug1_0830-Datapage.jpg,1200,823,Gender,261.1264953613281,239.5443878173828,285.04437255859375,263.2467041015625
aug1_0830-Datapage.jpg,1200,823,PlaceOfBirth,313.5105285644531,138.04872131347656,490.32183837890625,239.44639587402344
aug1_0830-Datapage.jpg,1200,823,UKPassport,9.873567581176758,0.0,710.9166870117188,508.3072204589844
aug1_1310-Biodata.jpg,1200,814,Surname,62.299285888671875,504.4565124511719,137.20838928222656,559.132080078125
aug1_1310-Biodata.jpg,1200,814,FirstName,78.02605438232422,540.8907470703125,132.24607849121094,582.6593627929688
aug1_1310-Biodata.jpg,1200,814,Nationality,91.60643005371094,498.6259460449219,259.5869140625,608.326904296875
aug1_1310-Biodata.jpg,1200,814,DOB,102.70059204101562,528.3889770507812,264.4086608886719,635.4491577148438
aug1_1310-Biodata.jpg,1200,814,Gender,123.91243743896484,638.4969482421875,142.0786590576172,657.3549194335938
aug1_1310-Biodata.jpg,1200,814,PlaceOfBirth,172.33819580078125,555.6068115234375,281.2442321777344,631.1361694335938
aug1_1310-Biodata.jpg,1200,814,UKPassport,0.0,280.478759765625,566.1239624023438,814.0
aug1_1528277944.perfect_20passport.jpg,500,338,Surname,170.8203582763672,56.16901397705078,329.17962646484375,73.98443603515625
aug1_1528277944.perfect_20passport.jpg,500,338,FirstName,169.8306121826172,83.88188934326172,267.8154296875,96.74858093261719
aug1_1528277944.perfect_20passport.jpg,500,338,Nationality,167.8511199951172,105.65628814697266,296.5180358886719,124.46145629882812
aug1_1528277944.perfect_20passport.jpg,500,338,DOB,170.8203582763672,134.35890197753906,288.6000671386719,146.23585510253906
aug1_1528277944.perfect_20passport.jpg,500,338,Gender,171.8101043701172,158.11279296875,182.6973114013672,170.9794921875
aug1_1528277944.perfect_20passport.jpg,500,338,PlaceOfBirth,222.28712463378906,158.11279296875,277.7128601074219,171.96923828125
aug1_1528277944.perfect_20passport.jpg,500,338,UKPassport,7.51235294342041,2.7227563858032227,497.4363708496094,318.4515686035156
aug1_2610-Datapage.jpg,1200,825,Surname,224.60842895507812,41.61368179321289,327.5393371582031,65.61542510986328
aug1_2610-Datapage.jpg,1200,825,FirstName,219.47161865234375,70.30126953125,408.8332214355469,102.28558349609375
aug1_2610-Datapage.jpg,1200,825,Nationality,220.35494995117188,100.40071868896484,406.7583312988281,132.67547607421875
aug1_2610-Datapage.jpg,1200,825,DOB,218.24551391601562,128.2996368408203,390.3565979003906,162.06134033203125
aug1_2610-Datapage.jpg,1200,825,Gender,214.84715270996094,161.57485961914062,234.40933227539062,178.79815673828125
aug1_2610-Datapage.jpg,1200,825,PlaceOfBirth,274.63397216796875,164.23504638671875,401.1122131347656,191.35865783691406
aug1_2610-Datapage.jpg,1200,825,UKPassport,17.25939178466797,0.0,628.3565673828125,378.62213134765625
aug1_36691.jpg,600,413,Surname,65.77092742919922,120.0251693725586,317.77093505859375,139.02517700195312
aug1_36691.jpg,600,413,FirstName,63.770931243896484,149.02517700195312,177.77093505859375,170.02517700195312
aug1_36691.jpg,600,413,Nationality,63.770931243896484,181.02517700195312,221.77093505859375,201.02517700195312
aug1_36691.jpg,600,413,DOB,63.770931243896484,213.02517700195312,207.77093505859375,233.02517700195312
aug1_36691.jpg,600,413,Gender,63.770931243896484,242.02517700195312,83.77092742919922,258.0251770019531
aug1_36691.jpg,600,413,PlaceOfBirth,124.77092742919922,241.02517700195312,194.77093505859375,261.0251770019531
aug1_36691.jpg,600,413,UKPassport,0.0,54.02517318725586,459.77093505859375,413.0
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,Surname,172.6574249267578,88.62506866455078,204.47169494628906,100.64546966552734
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,FirstName,173.80911254882812,103.02059936523438,221.12261962890625,115.5448989868164
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,Nationality,175.00880432128906,116.9602279663086,252.72097778320312,131.09213256835938
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,DOB,176.20848083496094,133.01129150390625,255.81607055664062,146.6393585205078
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,Gender,175.27281188964844,151.84571838378906,186.35743713378906,162.33055114746094
aug1_4a69c6957183dd2c395a7c7bec5d0c58.jpg,460,288,PlaceOfBirth,209.0064697265625,149.13441467285156,231.7515106201172,160.48300170898438
